unique_key,taxi_id,trip_start_timestamp,trip_end_timestamp,trip_seconds,trip_miles,pickup_census_tract,dropoff_census_tract,pickup_community_area,dropoff_community_area,fare,tips,tolls,extras,trip_total,payment_type,company,pickup_latitude,pickup_longitude,pickup_location,dropoff_latitude,dropoff_longitude,dropoff_location
d2980f64d969ba5728d8e6689bc5cc69f6b5db86,2bfab5f50d7ac81d00e074e342a1f90fdaf9d3f089e1113d155b36cf8eff013e6077e7166fbed11295ee60ccf7e0af143bb32e97518c78687f3dee79fadec20c,2015-06-03 06:30:00 UTC,2015-06-03 06:45:00 UTC,80,0.6,,,14,14,4.25,0.0,,1.0,5.25,Cash,Yellow Cab,41.968069,-87.721559063,POINT (-87.7215590627 41.968069),41.968069,-87.721559063,POINT (-87.7215590627 41.968069)
da147a4dfb51267e73e296cbd6e4591d677db395,c803393ff29ffeb1529b56151fe8e67ad09c3a7dbf79d469df501f3e36243145589c393d7438968ba77759fdf04bef874318e335227a9e7a1d7570669a490dd0,2015-06-13 08:30:00 UTC,2015-06-13 08:30:00 UTC,2,0.0,,,14,14,3.25,0.0,,0.0,3.25,Cash,Yellow Cab,41.968069,-87.721559063,POINT (-87.7215590627 41.968069),41.968069,-87.721559063,POINT (-87.7215590627 41.968069)
a660a1f8299a66f5ee7d2ff22552cf0d365dd643,46cb4badd64238b521d799f0aeb48c0214ebcac417ea257c3dabdf3b6105dbd59cdb5be586668b99664d475ff7bc8db97fba083ab39c1a7bd35a2414e5e236b1,2015-06-18 13:00:00 UTC,2015-06-18 13:15:00 UTC,786,0.2,,,14,14,7.45,0.0,,0.0,7.45,Cash,Yellow Cab,41.968069,-87.721559063,POINT (-87.7215590627 41.968069),41.968069,-87.721559063,POINT (-87.7215590627 41.968069)
df4626b41cbb82c868c0e7dc2ddfb2dd6a911254,4864665dad3c25ff4071be40894d35590be3c2806ad62f3a847f248c60cf6b375e902290651738dfd834f5b134ade7cc0a64d9b5fe978adb304274bbdf2b8759,2015-06-11 08:30:00 UTC,2015-06-11 08:30:00 UTC,1,0.0,,,14,14,3.25,0.0,,0.0,3.25,Cash,Yellow Cab,41.968069,-87.721559063,POINT (-87.7215590627 41.968069),41.968069,-87.721559063,POINT (-87.7215590627 41.968069)
06c22900f5664b7e47d286ed4644922e88210fa0,919ad1eb29141ee529f65193c1347a616239d89cd8c5e1b40fc9a22b845e6abc5f9483c82812c975f82bc6f1d8fc00dc6f25a8e8dd8930599c71ab648350e9d1,2015-06-13 09:30:00 UTC,2015-06-13 09:30:00 UTC,3,0.0,,,14,14,3.25,0.0,,1.0,4.25,Cash,Yellow Cab,41.968069,-87.721559063,POINT (-87.7215590627 41.968069),41.968069,-87.721559063,POINT (-87.7215590627 41.968069)
60c475eaa0a53778a227adc8662d309c8de1a615,e466fe3bf372f3003b09ee133c2e53cfc0674e4e0ab6759b3ac493f4406c789fdf71af6fdfea57a59690c7d316d4e6d9cd1f4e6beaf426749f82f79b2df1ae54,2015-06-12 16:00:00 UTC,2015-06-12 16:15:00 UTC,244,0.9,,,14,14,5.05,0.0,,1.0,6.05,Cash,Yellow Cab,41.968069,-87.721559063,POINT (-87.7215590627 41.968069),41.968069,-87.721559063,POINT (-87.7215590627 41.968069)
124aa158ccdf74f21829e76a4695f55e6d955227,8faf1a667fcfca1a2fd9d7d3e6bf4c7fe9f7a650c1b3b8b9327df0f80574ba079116396a863c7b655fa89a4dbdc2bd130c36f5e721f615fb25c93d32ebc0b84b,2015-06-14 16:15:00 UTC,2015-06-14 16:15:00 UTC,136,0.3,,,14,14,4.05,0.0,,1.0,5.05,Cash,Yellow Cab,41.968069,-87.721559063,POINT (-87.7215590627 41.968069),41.968069,-87.721559063,POINT (-87.7215590627 41.968069)
938016adaec2aec4e1404f3db87ae9e490732f64,9ef40dfe34d6b28e89d9a42eb798c9f5e47359b20ac5f0bacfce00486f3566b48b024efbfa0afbbd3c763c74525dfabc9838d4164baba07592dc5e32c3d247b6,2015-06-12 07:45:00 UTC,2015-06-12 08:00:00 UTC,1237,3.7,,,14,14,12.25,0.0,,0.0,12.25,Cash,Yellow Cab,41.968069,-87.721559063,POINT (-87.7215590627 41.968069),41.968069,-87.721559063,POINT (-87.7215590627 41.968069)
fe1aadadd8d13518ac2152f72992e935f158b413,f8f44c9d76773e3c761356078d786b151d2f206685454f64f76736d54bda25d7b9b96bb2271718561132707b3d65d14afbd26f146b8e6f659013376c82989ce0,2015-06-12 15:15:00 UTC,2015-06-12 15:15:00 UTC,337,0.9,,,14,14,5.45,0.0,,0.0,5.45,Cash,Yellow Cab,41.968069,-87.721559063,POINT (-87.7215590627 41.968069),41.968069,-87.721559063,POINT (-87.7215590627 41.968069)
c4503aacbaa00601ed1d7aecfb40b1ffc49bfef1,33eb8518952dbdc8a4c6648ad8fdf65dc84fac160f3d6fee95813377ebd66095d2862f1813b774f7a048d5a9aaea55aa02a223510027ee08a37485e1b784d104,2015-06-14 14:45:00 UTC,2015-06-14 15:00:00 UTC,416,0.9,,,14,14,5.85,0.0,,1.0,6.85,Cash,Yellow Cab,41.968069,-87.721559063,POINT (-87.7215590627 41.968069),41.968069,-87.721559063,POINT (-87.7215590627 41.968069)
