,PV output,PeriodStart,hours
462,0.0,2018/11/16,06
461,0.0,2018/11/16,05
460,0.0,2018/11/16,04
459,0.0,2018/11/16,03
458,0.0,2018/11/16,02
457,0.0,2018/11/16,01
467,106.9361111,2018/11/16,11
494,1554.602778,2018/11/17,14
495,997.85,2018/11/17,15
496,0.0,2018/11/17,16
497,0.0,2018/11/17,17
498,0.0,2018/11/17,18
503,0.0,2018/11/17,23
500,0.0,2018/11/17,20
501,0.0,2018/11/17,21
502,0.0,2018/11/17,22
493,2343.247222,2018/11/17,13
499,0.0,2018/11/17,19
492,1855.580556,2018/11/17,12
480,0.0,2018/11/17,00
490,936.3472222000001,2018/11/17,10
481,0.0,2018/11/17,01
482,0.0,2018/11/17,02
483,0.0,2018/11/17,03
484,0.0,2018/11/17,04
491,1208.3277779999999,2018/11/17,11
486,0.0,2018/11/17,06
487,0.0,2018/11/17,07
488,0.0,2018/11/17,08
489,45.2,2018/11/17,09
485,0.0,2018/11/17,05
517,1101.733333,2018/11/18,13
526,0.0,2018/11/18,22
525,0.0,2018/11/18,21
524,0.0,2018/11/18,20
523,0.0,2018/11/18,19
522,0.0,2018/11/18,18
521,0.0,2018/11/18,17
520,6.8888888889999995,2018/11/18,16
519,0.0,2018/11/18,15
518,438.3083333000001,2018/11/18,14
527,0.0,2018/11/18,23
516,1276.966667,2018/11/18,12
514,715.0722222,2018/11/18,10
515,1050.880556,2018/11/18,11
504,0.0,2018/11/18,00
505,0.0,2018/11/18,01
507,0.0,2018/11/18,03
508,0.0,2018/11/18,04
506,0.0,2018/11/18,02
510,0.0,2018/11/18,06
511,0.0,2018/11/18,07
512,0.0,2018/11/18,08
513,51.55833333,2018/11/18,09
509,0.0,2018/11/18,05
545,0.0,2018/11/19,17
542,642.9277778,2018/11/19,14
543,0.0,2018/11/19,15
544,0.0,2018/11/19,16
546,0.0,2018/11/19,18
541,1072.883333,2018/11/19,13
548,0.0,2018/11/19,20
549,0.0,2018/11/19,21
550,0.0,2018/11/19,22
551,0.0,2018/11/19,23
547,0.0,2018/11/19,19
540,1860.311111,2018/11/19,12
533,0.0,2018/11/19,05
